word	score	prompt: sub
niqqud	9.760392	{"iqq": 1, "qqu": 1, "qud": 3, "qq": 10, "niq": 45, "iq": 458, "ud": 2633, "qu": 4369, "ni": 15928}
faqrs	9.711238	{"qrs": 1, "aqr": 2, "qr": 4, "faq": 15, "aq": 298, "fa": 3401, "rs": 15538}
waqf	9.674671	{"aqf": 2, "qf": 2, "waq": 4, "aq": 298, "wa": 4375}
zzz	9.674503	{"zzz": 2, "zz": 741}
mmm	9.672468	{"mmm": 2, "mm": 3027}
dghajsa	9.670833	{"ajs": 1, "jsa": 1, "dgh": 2, "js": 5, "haj": 29, "gha": 121, "aj": 340, "dg": 957, "gh": 2717, "sa": 7941, "ha": 10764}
ryijyt	9.630703	{"jyt": 1, "ijy": 2, "yij": 2, "jy": 7, "ij": 123, "ryi": 148, "yi": 1358, "yt": 1479, "ry": 4298}
aufwuchs	9.621958	{"fwu": 1, "ufw": 1, "wuc": 1, "fw": 18, "auf": 51, "wu": 124, "chs": 220, "uch": 560, "uf": 863, "hs": 1500, "uc": 3665, "au": 4224, "ch": 15074}
offkey	9.618062	{"ffk": 1, "fke": 1, "fk": 8, "key": 268, "off": 543, "ey": 1679, "of": 1745, "ff": 2654, "ke": 6801}
pfft	9.608975	{"pff": 1, "fft": 6, "pf": 167, "ft": 1185, "ff": 2654}
folx	9.584633	{"olx": 1, "lx": 7, "fol": 405, "fo": 4009, "ol": 14114}
zzzs	9.579260	{"zzz": 2, "zzs": 3, "zs": 13, "zz": 741}
phpht	9.564481	{"php": 1, "hph": 3, "hp": 137, "pht": 163, "ht": 2029, "ph": 11411}
wuwei	9.561048	{"wuw": 1, "uwe": 2, "uw": 19, "wu": 124, "wei": 192, "we": 3183, "ei": 3326}
evhoe	9.543402	{"vho": 1, "evh": 3, "vh": 5, "hoe": 206, "oe": 2112, "ev": 2630, "ho": 12783}
coqs	9.525656	{"oqs": 1, "qs": 21, "coq": 35, "oq": 264, "co": 18297}
ajvar	9.521492	{"ajv": 2, "jv": 2, "jva": 2, "aj": 340, "var": 397, "va": 3835, "ar": 23319}
wuji	9.506552	{"wuj": 1, "uji": 25, "uj": 108, "wu": 124, "ji": 440}
obvs	9.502351	{"bvs": 1, "obv": 35, "vs": 59, "bv": 106, "ob": 5008}
hukm	9.500870	{"ukm": 1, "huk": 22, "km": 171, "uk": 543, "hu": 2232}
quzi	9.496883	{"quz": 1, "uzi": 22, "uz": 304, "zi": 2340, "qu": 4369}
brrr	9.490047	{"brr": 2, "rrr": 3, "rr": 4176, "br": 4386}
dovga	9.471692	{"ovg": 1, "vga": 4, "vg": 6, "dov": 65, "ov": 4486, "ga": 5763, "do": 6057}
buuz	9.468151	{"buu": 2, "uuz": 2, "uu": 62, "uz": 304, "bu": 3856}
qaum	9.467031	{"qau": 1, "qa": 105, "aum": 116, "au": 4224, "um": 6434}
gwyddbwyll	9.464917	{"bwy": 1, "dbw": 1, "ddb": 3, "gwy": 3, "wyd": 5, "ydd": 5, "wyl": 7, "bw": 55, "wy": 102, "gw": 142, "yll": 308, "db": 392, "yd": 997, "dd": 1739, "yl": 2292, "ll": 13942}
cuhs	9.458479	{"cuh": 2, "uhs": 2, "uh": 111, "hs": 1500, "cu": 5334}
slojds	9.458432	{"jds": 1, "ojd": 2, "loj": 4, "jd": 17, "oj": 206, "slo": 300, "sl": 2711, "ds": 4535, "lo": 14583}
mycs	9.456748	{"ycs": 1, "myc": 165, "my": 1322, "cs": 1392, "yc": 1720}
arcform	9.449954	{"cfo": 1, "rcf": 1, "cf": 5, "arc": 1270, "orm": 1320, "for": 2130, "rc": 3824, "fo": 4009, "rm": 4458, "or": 20985, "ar": 23319}
kopiyka	9.449725	{"iyk": 1, "yka": 1, "piy": 6, "kop": 68, "yk": 97, "iy": 126, "ko": 971, "opi": 1005, "ka": 2086, "pi": 8218, "op": 10913}
vozhds	9.439783	{"hds": 2, "voz": 2, "zhd": 2, "ozh": 4, "zh": 51, "hd": 82, "oz": 635, "vo": 2057, "ds": 4535}
mijwiz	9.432477	{"ijw": 1, "jwi": 2, "jw": 8, "mij": 9, "wiz": 38, "ij": 123, "wi": 2990, "iz": 7477, "mi": 13679}
hajjs	9.423685	{"jjs": 1, "js": 5, "ajj": 11, "jj": 27, "haj": 29, "aj": 340, "ha": 10764}
qiqi	9.409316	{"qiq": 2, "iqi": 4, "qi": 59, "iq": 458}
huqin	9.401822	{"huq": 1, "uqi": 4, "qin": 20, "uq": 54, "qi": 59, "hu": 2232, "in": 55898}
cwm	9.400158	{"cwm": 2, "cw": 16, "wm": 110}
xiqin	9.389645	{"xiq": 1, "iqi": 4, "qin": 20, "qi": 59, "iq": 458, "xi": 1629, "in": 55898}
dvojnice	9.388020	{"ojn": 1, "voj": 1, "jni": 3, "jn": 18, "dvo": 21, "oj": 206, "dv": 289, "ice": 1043, "nic": 1863, "vo": 2057, "ce": 10121, "ni": 15928, "ic": 22117}
uwu	9.380914	{"uwu": 2, "uw": 19, "wu": 124}
eevns	9.380701	{"vns": 1, "evn": 4, "vn": 21, "eev": 102, "ev": 2630, "ee": 6626, "ns": 16950}
paczki	9.378982	{"czk": 1, "acz": 2, "zki": 10, "zk": 23, "cz": 30, "pac": 611, "ki": 4856, "pa": 9340, "ac": 12227}
miqra	9.374490	{"iqr": 2, "qra": 2, "qr": 4, "miq": 21, "iq": 458, "mi": 13679, "ra": 26052}
vozhd	9.362066	{"voz": 2, "zhd": 2, "ozh": 4, "zh": 51, "hd": 82, "oz": 635, "vo": 2057}
mcjob	9.351624	{"cjo": 2, "mcj": 2, "cj": 4, "job": 91, "mc": 121, "jo": 931, "ob": 5008}
taqwa	9.345264	{"aqw": 2, "qwa": 2, "qw": 5, "taq": 17, "aq": 298, "wa": 4375, "ta": 15325}
suqs	9.342872	{"suq": 2, "uqs": 3, "qs": 21, "uq": 54, "su": 7091}
viili	9.340993	{"iil": 1, "vii": 4, "ii": 153, "ili": 3802, "vi": 5599, "il": 12822, "li": 27677}
subxiphoid	9.340129	{"bx": 1, "bxi": 1, "ubx": 1, "xip": 26, "hoi": 184, "iph": 333, "oid": 1225, "xi": 1629, "sub": 1837, "ub": 3604, "pho": 3927, "oi": 3945, "ip": 4650, "su": 7091, "id": 8359, "ph": 11411, "ho": 12783}
vrouws	9.335628	{"uws": 1, "ouw": 2, "uw": 19, "vro": 23, "vr": 103, "ws": 895, "rou": 1798, "ou": 13344, "ro": 21780}
nuqta	9.328304	{"nuq": 2, "uqt": 2, "qt": 9, "qta": 9, "uq": 54, "nu": 2294, "ta": 15325}
jelqs	9.323730	{"lqs": 1, "elq": 8, "qs": 21, "lq": 25, "jel": 46, "je": 871, "el": 14244}
buuzy	9.313180	{"buu": 2, "uuz": 2, "uzy": 5, "uu": 62, "uz": 304, "zy": 341, "bu": 3856}
aqwam	9.309388	{"aqw": 2, "qwa": 2, "qw": 5, "wam": 70, "aq": 298, "wa": 4375, "am": 8854}
hadjs	9.308342	{"djs": 1, "js": 5, "adj": 143, "dj": 193, "had": 232, "ad": 7572, "ha": 10764}
azkar	9.306969	{"azk": 1, "zka": 6, "zk": 23, "kar": 274, "az": 1383, "ka": 2086, "ar": 23319}
suq	9.302982	{"suq": 2, "uq": 54, "su": 7091}
hizbs	9.300402	{"zbs": 1, "izb": 6, "zb": 28, "hiz": 264, "bs": 1437, "iz": 7477, "hi": 11300}
majles	9.299337	{"jle": 1, "ajl": 3, "jl": 5, "maj": 73, "aj": 340, "les": 4607, "ma": 13966, "le": 25286, "es": 63456}
uzvar	9.298277	{"uzv": 1, "zva": 7, "zv": 18, "uz": 304, "var": 397, "va": 3835, "ar": 23319}
huoguo	9.295689	{"huo": 1, "uog": 3, "guo": 30, "ogu": 254, "uo": 657, "hu": 2232, "gu": 2868, "og": 8345}
yakju	9.293962	{"akj": 1, "kju": 7, "kj": 24, "yak": 78, "ju": 1083, "ya": 1450, "ak": 2624}
cuh	9.284568	{"cuh": 2, "uh": 111, "cu": 5334}
wysiwyg	9.280617	{"iwy": 2, "wyg": 2, "wys": 2, "siw": 6, "wy": 102, "iw": 109, "ysi": 385, "yg": 511, "ys": 2811, "si": 13737}
wysiwygs	9.278345	{"iwy": 2, "wyg": 2, "wys": 2, "ygs": 3, "siw": 6, "wy": 102, "iw": 109, "ysi": 385, "yg": 511, "ys": 2811, "gs": 5319, "si": 13737}
zubrs	9.278015	{"brs": 1, "zub": 6, "ubr": 143, "zu": 163, "ub": 3604, "br": 4386, "rs": 15538}
qutbs	9.276083	{"tbs": 1, "qut": 6, "utb": 122, "tb": 461, "bs": 1437, "qu": 4369, "ut": 7768}
puxy	9.273422	{"pux": 2, "uxy": 3, "ux": 294, "xy": 460, "pu": 2898}
navcam	9.272996	{"avc": 2, "vc": 2, "vca": 2, "nav": 135, "cam": 503, "av": 2788, "am": 8854, "na": 12129, "ca": 15651}
ajvars	9.270828	{"ajv": 2, "jv": 2, "jva": 2, "aj": 340, "var": 397, "ars": 1093, "va": 3835, "rs": 15538, "ar": 23319}
lavway	9.270317	{"avw": 2, "vw": 2, "vwa": 2, "lav": 367, "way": 456, "ay": 2419, "av": 2788, "wa": 4375, "la": 18073}
bosns	9.269746	{"sns": 1, "osn": 6, "bos": 309, "sn": 2285, "bo": 6341, "os": 11445, "ns": 16950}
zax	9.269323	{"zax": 2, "ax": 941, "za": 2328}
macvin	9.268293	{"acv": 2, "cv": 2, "cvi": 2, "mac": 686, "vin": 892, "vi": 5599, "ac": 12227, "ma": 13966, "in": 55898}
wox	9.268280	{"wox": 2, "ox": 1597, "wo": 2912}
brr	9.267277	{"brr": 2, "rr": 4176, "br": 4386}
zex	9.267192	{"zex": 2, "ex": 4115, "ze": 5493}
qun	9.266941	{"qun": 2, "qu": 4369, "un": 14179}
benjy	9.265583	{"njy": 1, "jy": 7, "enj": 55, "nj": 374, "ben": 528, "be": 7191, "en": 28336}
cuauhxicalli	9.261810	{"hx": 1, "hxi": 1, "uhx": 1, "uau": 3, "auh": 9, "cua": 44, "uh": 111, "xic": 184, "xi": 1629, "lli": 2719, "ua": 3275, "au": 4224, "cal": 4748, "ica": 5194, "all": 5290, "cu": 5334, "ll": 13942, "ca": 15651, "ic": 22117, "al": 27586, "li": 27677}
ryijy	9.259502	{"ijy": 2, "yij": 2, "jy": 7, "ij": 123, "ryi": 148, "yi": 1358, "ry": 4298}
zyzzyva	9.255777	{"yzz": 2, "zyv": 2, "zyz": 2, "yva": 12, "zzy": 31, "yv": 44, "yz": 159, "zy": 341, "zz": 741, "va": 3835}
yaqona	9.253395	{"aqo": 2, "qon": 2, "yaq": 3, "qo": 7, "aq": 298, "ya": 1450, "ona": 2803, "na": 12129, "on": 34070}
faqr	9.250599	{"aqr": 2, "qr": 4, "faq": 15, "aq": 298, "fa": 3401}
ezrin	9.247975	{"ezr": 2, "zri": 2, "zr": 7, "ez": 435, "rin": 4494, "ri": 27014, "in": 55898}
skweee	9.226258	{"eee": 1, "skw": 4, "kwe": 42, "kw": 227, "wee": 582, "sk": 1833, "we": 3183, "ee": 6626}
buzuq	9.222920	{"zuq": 1, "uzu": 15, "buz": 45, "uq": 54, "zu": 163, "uz": 304, "bu": 3856}
lavta	9.220432	{"avt": 2, "vta": 2, "vt": 9, "lav": 367, "av": 2788, "ta": 15325, "la": 18073}
nagkesar	9.211435	{"agk": 1, "gke": 1, "gk": 25, "esa": 252, "nag": 419, "kes": 479, "sar": 527, "ag": 6532, "ke": 6801, "sa": 7941, "na": 12129, "ar": 23319, "es": 63456}
dumky	9.209741	{"mky": 1, "umk": 14, "mk": 42, "dum": 204, "ky": 555, "du": 2718, "um": 6434}
muzjik	9.205074	{"uzj": 2, "zji": 2, "zj": 4, "jik": 8, "muz": 34, "uz": 304, "ji": 440, "ik": 1699, "mu": 3409}
wilja	9.204152	{"ilj": 2, "lja": 2, "lj": 11, "wil": 238, "ja": 1254, "wi": 2990, "il": 12822}
guoxue	9.201681	{"xue": 1, "uox": 5, "oxu": 6, "guo": 30, "xu": 311, "uo": 657, "ox": 1597, "ue": 2745, "gu": 2868}
cwms	9.189659	{"cwm": 2, "wms": 5, "cw": 16, "wm": 110, "ms": 4377}
groszy	9.185747	{"szy": 1, "osz": 3, "sz": 22, "zy": 341, "gro": 739, "ros": 2075, "gr": 6180, "os": 11445, "ro": 21780}
hmmm	9.182205	{"mmm": 2, "hmm": 9, "hm": 700, "mm": 3027}
wakfs	9.177848	{"kfs": 1, "akf": 20, "wak": 100, "kf": 184, "fs": 551, "ak": 2624, "wa": 4375}
gikun	9.175200	{"gik": 1, "iku": 25, "kun": 45, "ku": 497, "ik": 1699, "gi": 7021, "un": 14179}
ahkam	9.174242	{"ahk": 1, "hka": 27, "hk": 62, "kam": 106, "ah": 1215, "ka": 2086, "am": 8854}
teqball	9.172734	{"eqb": 2, "qb": 2, "qba": 2, "teq": 6, "eq": 689, "bal": 1084, "all": 5290, "ba": 7263, "ll": 13942, "al": 27586, "te": 33606}
nyjer	9.170711	{"nyj": 2, "yje": 2, "yj": 22, "jer": 78, "je": 871, "ny": 1214, "er": 53857}
puszta	9.167499	{"szt": 2, "zta": 2, "usz": 4, "zt": 17, "sz": 22, "pus": 247, "pu": 2898, "us": 11114, "ta": 15325}
knjaz	9.166736	{"knj": 1, "jaz": 28, "nja": 68, "nj": 374, "kn": 692, "ja": 1254, "az": 1383}
fyrd	9.164565	{"fyr": 2, "yrd": 4, "fy": 616, "yr": 1188, "rd": 4404}
minxy	9.162666	{"nxy": 1, "inx": 27, "nx": 82, "xy": 460, "min": 3669, "mi": 13679, "in": 55898}
grzywna	9.155779	{"grz": 2, "ywn": 2, "rzy": 4, "zyw": 4, "wna": 8, "rz": 117, "yw": 266, "zy": 341, "wn": 1048, "gr": 6180, "na": 12129}
navbar	9.155209	{"avb": 2, "vba": 2, "vb": 3, "nav": 135, "bar": 1155, "av": 2788, "ba": 7263, "na": 12129, "ar": 23319}
qajaq	9.142829	{"jaq": 2, "qaj": 2, "aja": 69, "qa": 105, "aq": 298, "aj": 340, "ja": 1254}
leiqin	9.141175	{"eiq": 1, "iqi": 4, "qin": 20, "qi": 59, "lei": 248, "iq": 458, "ei": 3326, "le": 25286, "in": 55898}
lesbs	9.137358	{"sbs": 1, "esb": 46, "sb": 360, "bs": 1437, "les": 4607, "le": 25286, "es": 63456}
crwth	9.135066	{"crw": 2, "rwt": 2, "wth": 60, "wt": 214, "rw": 640, "cr": 6725, "th": 11453}
yizkor	9.128975	{"yiz": 2, "zko": 2, "izk": 4, "zk": 23, "kor": 83, "ko": 971, "yi": 1358, "iz": 7477, "or": 20985}
hygge	9.127844	{"ygg": 1, "hyg": 86, "yg": 511, "gge": 709, "gg": 2150, "hy": 4712, "ge": 9698}
bupkus	9.124770	{"pku": 1, "upk": 5, "bup": 18, "kus": 42, "pk": 50, "ku": 497, "up": 3827, "bu": 3856, "us": 11114}
miqras	9.123722	{"iqr": 2, "qra": 2, "qr": 4, "miq": 21, "iq": 458, "ras": 1540, "mi": 13679, "as": 16255, "ra": 26052}
aoqun	9.123617	{"aoq": 2, "qun": 2, "oqu": 261, "oq": 264, "ao": 280, "qu": 4369, "un": 14179}
quoad	9.123255	{"uoa": 1, "quo": 151, "oad": 440, "uo": 657, "oa": 2888, "qu": 4369, "ad": 7572}
uszka	9.118342	{"szk": 2, "usz": 4, "zka": 6, "sz": 22, "zk": 23, "ka": 2086, "us": 11114}
tranqed	9.118323	{"nqe": 1, "qed": 2, "qe": 15, "anq": 94, "nq": 322, "ran": 3478, "tra": 4616, "tr": 14998, "ra": 26052, "an": 27255, "ed": 27846}
confs	9.116485	{"nfs": 1, "fs": 551, "onf": 584, "nf": 2090, "con": 4692, "co": 18297, "on": 34070}
bizjet	9.108734	{"izj": 2, "zje": 2, "zj": 4, "biz": 50, "jet": 102, "je": 871, "iz": 7477, "bi": 8414, "et": 13963}
jynx	9.107970	{"jyn": 2, "jy": 7, "ynx": 18, "nx": 82, "yn": 1495}
navjote	9.106522	{"avj": 2, "vj": 2, "vjo": 2, "jot": 19, "nav": 135, "jo": 931, "ote": 1172, "av": 2788, "ot": 9336, "na": 12129, "te": 33606}
ijma	9.106486	{"ijm": 2, "jma": 9, "jm": 11, "ij": 123, "ma": 13966}
ijma'	9.106486	{"ijm": 2, "jma": 9, "jm": 11, "ij": 123, "ma": 13966}
mcjobs	9.103141	{"cjo": 2, "mcj": 2, "cj": 4, "job": 91, "mc": 121, "obs": 344, "jo": 931, "bs": 1437, "ob": 5008}
muhaqqaq	9.099486	{"qaq": 1, "qqa": 6, "haq": 7, "aqq": 9, "qq": 10, "muh": 11, "uha": 17, "qa": 105, "uh": 111, "aq": 298, "mu": 3409, "ha": 10764}
ajmo	9.099206	{"jmo": 2, "ajm": 9, "jm": 11, "aj": 340, "mo": 9202}
arcjet	9.093667	{"cje": 2, "rcj": 2, "cj": 4, "jet": 102, "je": 871, "arc": 1270, "rc": 3824, "et": 13963, "ar": 23319}
auwe	9.086315	{"uwe": 2, "auw": 7, "uw": 19, "we": 3183, "au": 4224}
ollamhs	9.081078	{"mhs": 1, "amh": 2, "mh": 50, "lam": 956, "oll": 1413, "hs": 1500, "lla": 1795, "am": 8854, "ll": 13942, "ol": 14114, "la": 18073}
nuqtas	9.077957	{"nuq": 2, "uqt": 2, "qt": 9, "qta": 9, "uq": 54, "tas": 878, "nu": 2294, "ta": 15325, "as": 16255}
rajbari	9.077745	{"ajb": 2, "jb": 2, "jba": 2, "raj": 72, "aj": 340, "bar": 1155, "ari": 3728, "ba": 7263, "ar": 23319, "ra": 26052, "ri": 27014}
zyzzyvas	9.075416	{"yzz": 2, "zyv": 2, "zyz": 2, "yva": 12, "zzy": 31, "yv": 44, "yz": 159, "vas": 315, "zy": 341, "zz": 741, "va": 3835, "as": 16255}
navcams	9.073728	{"avc": 2, "vc": 2, "vca": 2, "nav": 135, "cam": 503, "ams": 529, "av": 2788, "ms": 4377, "am": 8854, "na": 12129, "ca": 15651}
lavways	9.071151	{"avw": 2, "vw": 2, "vwa": 2, "lav": 367, "way": 456, "ays": 523, "ay": 2419, "av": 2788, "ys": 2811, "wa": 4375, "la": 18073}
lowveld	9.069120	{"owv": 2, "wv": 2, "wve": 2, "eld": 404, "low": 1040, "vel": 1223, "ld": 2067, "ow": 4449, "ve": 12649, "el": 14244, "lo": 14583}
macvins	9.067899	{"acv": 2, "cv": 2, "cvi": 2, "mac": 686, "vin": 892, "ins": 2804, "vi": 5599, "ac": 12227, "ma": 13966, "ns": 16950, "in": 55898}
yakgwa	9.066125	{"kgw": 1, "akg": 6, "gwa": 50, "kg": 50, "yak": 78, "gw": 142, "ya": 1450, "ak": 2624, "wa": 4375}
taqsim	9.062503	{"qsi": 1, "aqs": 9, "taq": 17, "qs": 21, "aq": 298, "sim": 456, "im": 6699, "si": 13737, "ta": 15325}
jigjig	9.060031	{"gji": 2, "igj": 4, "gj": 21, "jig": 74, "ji": 440, "ig": 5744}
guvnor	9.058746	{"uvn": 2, "vno": 2, "guv": 6, "vn": 21, "uv": 382, "nor": 710, "gu": 2868, "no": 10594, "or": 20985}
yaqonas	9.053710	{"aqo": 2, "qon": 2, "yaq": 3, "qo": 7, "aq": 298, "nas": 715, "ya": 1450, "ona": 2803, "na": 12129, "as": 16255, "on": 34070}
mizpah	9.052019	{"izp": 1, "zpa": 9, "zp": 15, "pah": 35, "miz": 318, "ah": 1215, "iz": 7477, "pa": 9340, "mi": 13679}
saaz	9.050025	{"aaz": 2, "saa": 6, "aa": 269, "az": 1383, "sa": 7941}
uszki	9.049496	{"szk": 2, "usz": 4, "zki": 10, "sz": 22, "zk": 23, "ki": 4856, "us": 11114}
vaad	9.049346	{"vaa": 2, "aad": 6, "aa": 269, "va": 3835, "ad": 7572}
aaargh	9.041535	{"aaa": 1, "aar": 33, "rgh": 35, "aa": 269, "arg": 670, "rg": 2514, "gh": 2717, "ar": 23319}
napfkuchen	9.040559	{"fku": 1, "pfk": 1, "fk": 8, "kuc": 14, "apf": 20, "pf": 167, "nap": 396, "ku": 497, "uch": 560, "hen": 1000, "che": 3351, "uc": 3665, "ap": 7769, "na": 12129, "ch": 15074, "he": 15118, "en": 28336}
mizuya	9.037661	{"zuy": 1, "uya": 8, "izu": 20, "uy": 122, "zu": 163, "miz": 318, "ya": 1450, "iz": 7477, "mi": 13679}
polje	9.035500	{"olj": 2, "lje": 3, "lj": 11, "je": 871, "pol": 1643, "po": 9502, "ol": 14114}
qajaqs	9.034697	{"jaq": 2, "qaj": 2, "aqs": 9, "qs": 21, "aja": 69, "qa": 105, "aq": 298, "aj": 340, "ja": 1254}
umquhile	9.030343	{"quh": 1, "mq": 5, "mqu": 5, "umq": 5, "uhi": 10, "uh": 111, "hil": 1175, "ile": 1348, "qu": 4369, "um": 6434, "hi": 11300, "il": 12822, "le": 25286}
cobza	9.029724	{"bza": 2, "obz": 3, "bz": 13, "cob": 101, "za": 2328, "ob": 5008, "co": 18297}
hwyl	9.027292	{"hwy": 2, "wyl": 7, "wy": 102, "hw": 328, "yl": 2292}
taqleed	9.025700	{"qle": 1, "aql": 4, "ql": 8, "taq": 17, "aq": 298, "lee": 373, "eed": 932, "ee": 6626, "ta": 15325, "le": 25286, "ed": 27846}
grrrl	9.023273	{"rrr": 3, "rrl": 4, "grr": 5, "rl": 2073, "rr": 4176, "gr": 6180}
dikdik	9.020549	{"kdi": 2, "ikd": 4, "dik": 52, "kd": 82, "ik": 1699, "di": 14495}
maqluba	9.016826	{"qlu": 1, "aql": 4, "ql": 8, "maq": 24, "uba": 255, "lub": 259, "aq": 298, "ub": 3604, "lu": 5008, "ba": 7263, "ma": 13966}
cywydd	9.014143	{"ywy": 2, "cyw": 4, "wyd": 5, "ydd": 5, "wy": 102, "yw": 266, "yd": 997, "dd": 1739, "cy": 2029}
muwaqqit	9.011390	{"qit": 2, "qqi": 3, "waq": 4, "muw": 5, "aqq": 9, "uwa": 9, "qq": 10, "uw": 19, "qi": 59, "aq": 298, "mu": 3409, "wa": 4375, "it": 19542}
muzjiks	9.010894	{"uzj": 2, "zji": 2, "zj": 4, "jik": 8, "muz": 34, "iks": 113, "uz": 304, "ji": 440, "ik": 1699, "ks": 2959, "mu": 3409}
phwoar	9.009311	{"phw": 1, "woa": 7, "hwo": 86, "hw": 328, "oar": 602, "oa": 2888, "wo": 2912, "ph": 11411, "ar": 23319}
alfvenic	9.008455	{"lfv": 1, "fv": 3, "fve": 3, "alf": 206, "lf": 1343, "ven": 1694, "nic": 1863, "eni": 2024, "ve": 12649, "ni": 15928, "ic": 22117, "al": 27586, "en": 28336}
seiyuu	9.007979	{"eiy": 2, "yuu": 2, "iyu": 8, "uu": 62, "iy": 126, "yu": 212, "sei": 230, "ei": 3326, "se": 24344}
qoph	9.007545	{"qop": 2, "qo": 7, "oph": 3572, "op": 10913, "ph": 11411}
teqballs	9.006624	{"eqb": 2, "qb": 2, "qba": 2, "teq": 6, "eq": 689, "lls": 736, "bal": 1084, "ls": 4584, "all": 5290, "ba": 7263, "ll": 13942, "al": 27586, "te": 33606}
muktzeh	9.003771	{"ktz": 1, "zeh": 5, "ukt": 7, "muk": 20, "tze": 135, "kt": 245, "tz": 424, "uk": 543, "eh": 1061, "mu": 3409, "ze": 5493}
mawger	9.000083	{"wge": 1, "awg": 11, "maw": 30, "wg": 42, "ger": 1763, "aw": 1826, "ge": 9698, "ma": 13966, "er": 53857}
zeze	8.999406	{"zez": 2, "eze": 125, "ez": 435, "ze": 5493}
miqvoth	8.998704	{"qvo": 1, "iqv": 5, "qv": 7, "miq": 21, "vot": 116, "iq": 458, "oth": 1244, "vo": 2057, "ot": 9336, "th": 11453, "mi": 13679}
qalqalah	8.998542	{"lqa": 1, "alq": 7, "qal": 14, "lq": 25, "lah": 104, "qa": 105, "ah": 1215, "ala": 1315, "la": 18073, "al": 27586}
woiwode	8.997323	{"oiw": 2, "woi": 2, "wod": 5, "iwo": 16, "iw": 109, "ode": 971, "wo": 2912, "oi": 3945, "od": 5255, "de": 17740}
cezve	8.997191	{"cez": 2, "ezv": 6, "zve": 6, "zv": 18, "ez": 435, "ce": 10121, "ve": 12649}
ezrins	8.997023	{"ezr": 2, "zri": 2, "zr": 7, "ez": 435, "ins": 2804, "rin": 4494, "ns": 16950, "ri": 27014, "in": 55898}
grzywnas	8.989614	{"grz": 2, "ywn": 2, "rzy": 4, "zyw": 4, "wna": 8, "rz": 117, "yw": 266, "zy": 341, "nas": 715, "wn": 1048, "gr": 6180, "na": 12129, "as": 16255}
jhil	8.980287	{"jhi": 2, "jh": 8, "hil": 1175, "hi": 11300, "il": 12822}
mejlis	8.974230	{"ejl": 2, "jli": 4, "jl": 5, "mej": 6, "ej": 332, "lis": 4718, "me": 14687, "li": 27677, "is": 31626}
duhkha	8.971814	{"hkh": 2, "duh": 3, "uhk": 4, "hk": 62, "uh": 111, "kha": 163, "kh": 443, "du": 2718, "ha": 10764}
sitzfleisch	8.969870	{"tzf": 1, "zfl": 1, "zf": 3, "itz": 135, "lei": 248, "tz": 424, "eis": 498, "fle": 687, "sch": 919, "isc": 1210, "sit": 1391, "ei": 3326, "fl": 3513, "sc": 7227, "si": 13737, "ch": 15074, "it": 19542, "le": 25286, "is": 31626}
rijder	8.969683	{"ijd": 2, "jde": 2, "jd": 17, "rij": 21, "ij": 123, "der": 3839, "de": 17740, "ri": 27014, "er": 53857}
